A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/10/2017 11:00,2017,1,10,11,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 12:00,2017,1,10,12,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 13:00,2017,1,10,13,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 14:00,2017,1,10,14,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 15:00,2017,1,10,15,97,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 16:00,2017,1,10,16,87,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 17:00,2017,1,10,17,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 18:00,2017,1,10,18,85,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 19:00,2017,1,10,19,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 20:00,2017,1,10,20,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 21:00,2017,1,10,21,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 22:00,2017,1,10,22,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 23:00,2017,1,10,23,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 0:00,2017,1,11,0,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 1:00,2017,1,11,1,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 2:00,2017,1,11,2,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 3:00,2017,1,11,3,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 4:00,2017,1,11,4,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 5:00,2017,1,11,5,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 6:00,2017,1,11,6,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 7:00,2017,1,11,7,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 8:00,2017,1,11,8,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 9:00,2017,1,11,9,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 10:00,2017,1,11,10,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 11:00,2017,1,11,11,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 12:00,2017,1,11,12,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 13:00,2017,1,11,13,31,µg/m³,1 Hr,Valid
